claim_id,policy_id,event_id,date_of_loss,reported_date,peril_type,claim_status,incurred_amount,paid_to_date,snapshot_date
CLM-001,POL-001,CYC-2025-01,2025-02-10,2025-02-17,Wind,Open,10000.00,2500.00,2025-02-17
CLM-002,POL-001,,2025-03-01,2025-03-05,Riverine Flood,Closed,5000.00,5000.00,2025-03-05
CLM-003,POL-002,CYC-2025-01,2025-02-12,2025-02-20,Wind,Open,20000.00,0.00,2025-02-20
CLM-BAD-NULL,,CYC-2025-01,2025-02-10,2025-02-17,Wind,Open,1000.00,0.00,2025-02-17
CLM-BAD-DATES,POL-001,CYC-2025-01,2025-03-20,2025-03-10,Wind,Open,1000.00,0.00,2025-03-20
CLM-BAD-NEG,POL-001,,2025-02-10,2025-02-17,Wind,Open,-500.00,0.00,2025-02-17
CLM-BAD-PAID,POL-001,,2025-02-10,2025-02-17,Wind,Open,1000.00,1500.00,2025-02-17
CLM-BAD-PARSE,POL-001,,not-a-date,2025-02-17,Wind,Open,1000.00,0.00,2025-02-17
CLM-ORPHAN-POL,POL-MISSING,CYC-2025-01,2025-02-10,2025-02-17,Wind,Open,1000.00,0.00,2025-02-17
CLM-ORPHAN-EVT,POL-001,CYC-MISSING,2025-02-10,2025-02-17,Wind,Open,1000.00,0.00,2025-02-17
