policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date
POL-000001,Pacific Rim Insurance,0800,Darwin NT,T-W,Home,484053,Shutters Installed,3626.94,2023-04-15,2024-04-14
POL-000002,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,348246,Roof Tie-Down,502.83,2024-06-01,2025-06-01
POL-000003,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,821412,None,7677.81,2024-04-04,2025-04-04
POL-000004,Coral Coast Mutual,6000,Perth WA,B-F,SME,1069659,Roof Tie-Down,1701.43,2023-12-15,2024-12-14
POL-000005,Coral Coast Mutual,0810,Darwin NT,T-W,Home,357175,None,3116.79,2023-04-10,2024-04-09
POL-000006,Outback Assurance Group,4680,Gladstone QLD,L-P,Home,731741,None,3095.58,2025-09-23,2026-09-23
POL-000007,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,898564,None,1742.1,2024-01-06,2025-01-05
POL-000008,Northbeam General,4703,Rockhampton QLD,Q-S,SME,1355874,Roof Tie-Down,7900.33,2023-03-23,2024-03-22
POL-000009,Northbeam General,0800,Darwin NT,T-W,Home,632554,None,5603.82,2023-12-30,2024-12-29
POL-000010,Pacific Rim Insurance,6000,Perth WA,B-F,SME,699483,None,1286.55,2023-06-25,2024-06-24
POL-000011,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,834004,Elevated Slab,1204.47,2023-11-29,2024-11-28
POL-000012,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,2082607,None,3574.56,2023-08-05,2024-08-04
POL-000013,Northbeam General,6714,Karratha WA,T-W,Home,731141,None,6449.73,2023-05-23,2024-05-22
POL-000014,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,699245,None,1358.78,2024-02-13,2025-02-12
POL-000015,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Strata,10279821,Roof Tie-Down,14441.28,2023-02-18,2024-02-18
POL-000016,Outback Assurance Group,0810,Darwin NT,T-W,Home,692666,None,6707.21,2024-01-30,2025-01-29
POL-000017,Southern Cross Insurance,4810,Townsville QLD,T-W,Strata,11281590,None,114908.43,2023-01-12,2024-01-12
